Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Bulgaria,38.694,38.987,39.292,39.582,39.859,40.115,40.335,40.521,40.691,40.869,41.108,41.416,41.756,42.061,42.31,42.527,42.753,43.01,43.301,43.628,43.897,44.043
Burkina Faso,15.43,15.536,15.652,15.766,15.87,15.959,16.014,16.033,16.026,16.008,15.983,15.962,15.96,15.968,15.99,16.033,16.096,16.186,16.3,16.444,16.629,16.836
Burundi,14.635,14.835,15.038,15.24,15.478,15.662,15.783,15.875,15.995,16.223,16.364,16.233,16.058,15.989,15.859,15.5,15.123,14.975,15.033,15.194,15.33,15.481
Cambodia,16.959,17.382,17.808,18.24,18.68,19.123,19.585,20.056,20.486,20.874,21.26,21.652,22.045,22.436,22.825,23.215,23.595,24.006,24.45,24.842,25.122,25.35
Cameroon,16.191,16.268,16.346,16.422,16.491,16.551,16.602,16.656,16.714,16.771,16.827,16.882,16.939,16.997,17.089,17.189,17.249,17.284,17.32,17.374,17.441,17.521
Canada,35.768,36.158,36.545,36.925,37.274,37.588,37.872,38.123,38.342,38.542,38.74,38.937,39.124,39.297,39.469,39.629,39.733,39.77,39.769,39.788,39.901,40.105
Cape Verde,17.446,17.767,18.13,18.517,18.922,19.337,19.754,20.171,20.591,21.019,21.481,22.008,22.569,23.127,23.677,24.21,24.717,25.191,25.626,26.018,26.361,26.784
Cayman Islands,32.155,32.254,32.382,32.548,32.751,32.991,33.253,33.53,33.824,34.142,34.468,34.683,34.815,34.961,35.124,35.314,35.537,35.796,36.087,36.41,36.763,37.129
Central African Republic,16.009,16.001,16.006,16.027,16.03,16.061,16.044,15.992,15.957,15.805,15.627,15.473,15.225,14.952,14.592,14.37,14.375,14.369,14.359,14.368,14.41,14.377
Chad,14.568,14.466,14.395,14.451,14.59,14.641,14.615,14.568,14.559,14.575,14.554,14.547,14.563,14.603,14.65,14.642,14.647,14.7,14.768,14.813,14.866,14.982
Chile,28.034,28.403,28.78,29.164,29.551,29.937,30.318,30.688,31.041,31.383,31.719,32.051,32.379,32.702,33.018,33.331,33.62,33.862,34.079,34.328,34.684,35.107
China,28.961,29.532,30.109,30.676,31.231,31.771,32.299,32.809,33.295,33.738,34.144,34.523,34.852,35.141,35.411,35.69,35.985,36.279,36.621,37.026,37.494,38.007
Colombia,23.157,23.43,23.712,24.0,24.299,24.616,24.955,25.314,25.686,26.069,26.464,26.872,27.29,27.713,28.139,28.566,28.985,29.371,29.727,30.084,30.448,30.803
Comoros,15.197,15.305,15.387,15.494,15.711,16.004,16.301,16.601,16.901,17.199,17.495,17.786,18.073,18.344,18.575,18.745,18.861,19.01,19.224,19.457,19.68,19.885
Congo,17.438,17.698,17.712,17.792,17.961,18.137,18.314,18.458,18.514,18.637,18.746,18.704,18.597,18.447,18.319,18.217,18.144,18.095,18.062,18.051,18.072,18.125
Cook Islands,23.54,23.966,24.377,24.82,25.258,25.695,26.122,26.666,27.33,28.012,28.705,29.398,29.929,30.309,30.687,31.071,31.454,31.811,32.139,32.451,32.739,33.265
Costa Rica,24.207,24.507,24.839,25.2,25.577,25.961,26.358,26.764,27.161,27.557,27.971,28.396,28.82,29.26,29.708,30.155,30.609,31.071,31.536,32.014,32.513,33.022
Cote d'Ivoire,15.708,15.675,15.64,15.607,15.581,15.558,15.541,15.535,15.775,16.242,16.69,17.118,17.536,17.942,18.075,17.947,17.842,17.785,17.784,17.817,17.854,17.905
Croatia,38.626,38.939,39.217,39.493,39.745,39.962,40.182,40.416,40.636,40.832,41.014,41.262,41.516,41.727,41.972,42.307,42.709,43.169,43.61,43.952,44.228,44.445
Cuba,32.096,32.632,33.158,33.671,34.176,34.689,35.206,35.73,36.252,36.768,37.276,37.764,38.264,38.768,39.245,39.677,40.067,40.44,40.781,41.096,41.343,41.425
Curacao,32.695,33.183,33.67,34.284,34.888,35.445,35.955,36.46,36.967,37.484,38.009,38.568,38.87,38.897,38.947,39.017,39.106,39.229,37.363,36.57,37.469,37.692
Cyprus,30.592,30.815,31.004,31.173,31.359,31.56,31.779,32.018,32.277,32.556,32.855,33.17,33.492,33.835,34.196,34.565,34.938,35.32,35.716,36.12,36.528,36.935
Czechia,36.431,36.724,37.015,37.286,37.534,37.755,37.955,38.134,38.3,38.48,38.685,38.937,39.241,39.585,39.962,40.363,40.771,41.181,41.575,41.963,42.324,42.64
Democratic Republic of Congo,16.05,16.01,15.971,15.929,15.902,15.898,15.883,15.845,15.802,15.767,15.748,15.748,15.772,15.812,15.83,15.814,15.842,15.893,15.884,15.844,15.815,15.788
Denmark,37.301,37.489,37.706,37.958,38.238,38.541,38.836,39.088,39.261,39.411,39.558,39.726,39.937,40.163,40.366,40.498,40.593,40.724,40.861,40.993,41.149,41.243
Djibouti,18.904,19.165,19.41,19.543,19.598,19.676,19.829,20.037,20.258,20.487,20.714,20.954,21.209,21.475,21.748,22.029,22.318,22.613,22.912,23.213,23.51,23.795
Dominica,26.654,27.145,27.549,27.926,28.293,28.644,28.991,29.339,29.682,30.021,30.388,30.435,30.605,30.304,30.088,30.512,31.687,33.035,33.495,33.969,34.444,34.91
