,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population
Austria,4824004.0,4820068.0,4821291.0,4822095.0,4829142.0,4839033.0,4839801.0,4832038.0,4823638.0,4812679.0,4800510.0,4792887.0,4817487.0,4861991.0,4916377.0,4988134.0,5058968.0,5110858.0,5153759.0,5196085.0,5238479.0,5283472.0,3187562.0,3222225.0,3260666.0,3299328.0,3342824.0,3388796.0,3428840.0,3463449.0,3497858.0,3530644.0,3562894.0,3598756.0,3612504.0,3617832.0,3629979.0,3654565.0,3677700.0,3686708.0,3686762.0,3683835.0,3678385.0,3672325.0
Azerbaijan,4135854.0,4184325.0,4232008.0,4280744.0,4335079.0,4396406.0,4461940.0,4530068.0,4643726.0,4759039.0,4835557.0,4920166.0,5008847.0,5098727.0,5189181.0,5279540.0,5368846.0,5453517.0,5534464.0,5616706.0,5692217.0,5755809.0,3912746.0,3926875.0,3939942.0,3953356.0,3971421.0,3995444.0,4022610.0,4051232.0,4119674.0,4188204.0,4218775.0,4252916.0,4286937.0,4318074.0,4345898.0,4369801.0,4388966.0,4400516.0,4405307.0,4407577.0,4400904.0,4381941.0
Bahrain,563444.0,584398.0,627937.0,675703.0,728179.0,785914.0,849514.0,919651.0,976925.0,1043828.0,1088907.0,1059923.0,1073101.0,1113272.0,1168843.0,1219573.0,1268397.0,1338785.0,1342065.0,1326389.0,1317711.0,1348242.0,74138.0,76918.0,82616.0,88814.0,95562.0,102908.0,110910.0,119644.0,126571.0,134587.0,139636.0,135097.0,135863.0,139919.0,145719.0,150749.0,155329.0,162331.0,161026.0,157367.0,154493.0,156123.0
Bangladesh,31739001.0,32964728.0,34394416.0,35847351.0,37317652.0,38796855.0,40286532.0,41787732.0,43299705.0,44823072.0,46363767.0,47958813.0,49611577.0,51283060.0,52973539.0,54681181.0,56417650.0,58156709.0,59901783.0,61685728.0,63487597.0,65296417.0,102805303.0,103841082.0,104539242.0,105123000.0,105585204.0,105918931.0,106119441.0,106201546.0,106174559.0,106050642.0,105838214.0,105632263.0,105458524.0,105249081.0,104991390.0,104701998.0,104394282.0,104029438.0,103621320.0,103227327.0,102810427.0,102362437.0
Barbados,88648.0,88251.0,88307.0,88328.0,88307.0,88246.0,88145.0,88036.0,87967.0,87892.0,87720.0,87536.0,87382.0,87267.0,87201.0,87182.0,87215.0,87298.0,87433.0,87618.0,87864.0,88160.0,173415.0,174174.0,175841.0,177448.0,178991.0,180460.0,181857.0,183252.0,184747.0,186231.0,187523.0,188603.0,189556.0,190398.0,191147.0,191808.0,192383.0,192873.0,193278.0,193589.0,193834.0,193987.0
Belarus,6983033.0,6995457.0,6998521.0,6996348.0,6994710.0,6992229.0,6993921.0,7005597.0,7024602.0,7049739.0,7081770.0,7114020.0,7150971.0,7195632.0,7246350.0,7302153.0,7354014.0,7390686.0,7418413.0,7445754.0,7455467.0,7433696.0,2996577.0,2933092.0,2867027.0,2800401.0,2735436.0,2671686.0,2611003.0,2555356.0,2503383.0,2454844.0,2402066.0,2347623.0,2295865.0,2247579.0,2202165.0,2158923.0,2115365.0,2068303.0,2020372.0,1974004.0,1924485.0,1868889.0
Belgium,9956937.0,9997106.0,10047703.0,10095562.0,10144977.0,10206487.0,10279407.0,10360589.0,10448114.0,10537701.0,10639649.0,10784163.0,10856360.0,10912673.0,10966157.0,11034732.0,11095615.0,11143219.0,11198627.0,11263911.0,11316947.0,11368027.0,294313.0,289464.0,285082.0,280571.0,276160.0,272130.0,268551.0,265111.0,261859.0,258792.0,255937.0,254101.0,250572.0,246734.0,242900.0,239464.0,235807.0,231939.0,228427.0,225069.0,221657.0,218168.0
Belize,109318.0,112717.0,116136.0,119616.0,123156.0,126755.0,130397.0,134071.0,137760.0,141442.0,144840.0,148030.0,151309.0,154696.0,158184.0,161797.0,165923.0,170184.0,173855.0,176964.0,179871.0,182654.0,131481.0,135662.0,139873.0,144164.0,148532.0,152976.0,157481.0,162029.0,166601.0,171172.0,175405.0,179268.0,183105.0,186931.0,190739.0,194536.0,198782.0,203018.0,206371.0,208865.0,210941.0,212692.0
Benin,2768263.0,2877723.0,2996179.0,3128511.0,3266820.0,3416212.0,3568489.0,3721090.0,3882323.0,4049112.0,4222030.0,4401627.0,4587966.0,4780638.0,4981812.0,5191263.0,5407795.0,5630764.0,5858809.0,6091152.0,6327922.0,6568819.0,4453356.0,4567873.0,4679247.0,4784559.0,4892274.0,5009932.0,5124753.0,5232879.0,5346143.0,5460311.0,5575454.0,5691996.0,5809691.0,5928196.0,6048192.0,6169418.0,6290047.0,6409016.0,6524538.0,6635603.0,6742247.0,6844598.0
Bermuda,61550.0,61867.0,62142.0,62386.0,62555.0,62711.0,62834.0,63010.0,63300.0,63565.0,63725.0,63733.0,63646.0,63574.0,63529.0,63464.0,63449.0,63578.0,63831.0,64107.0,64382.0,64648.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
