,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population
Comoros,150531.0,153419.0,156454.0,159241.0,162034.0,165209.0,168502.0,171919.0,175489.0,179238.0,183177.0,187323.0,191695.0,196486.0,201626.0,206886.0,212279.0,217800.0,223491.0,229398.0,235675.0,242286.0,385549.0,393801.0,402469.0,410557.0,418670.0,427468.0,436251.0,445008.0,453818.0,462709.0,471659.0,480733.0,489935.0,499706.0,509877.0,519796.0,529462.0,538869.0,548099.0,557180.0,566488.0,575888.0
Costa Rica,2325314.0,2421805.0,2516870.0,2610745.0,2704346.0,2798442.0,2892489.0,2986190.0,3080955.0,3175727.0,3268265.0,3359093.0,3448793.0,3535695.0,3620198.0,3703240.0,3783361.0,3859792.0,3933533.0,4003442.0,4066271.0,4120095.0,1612425.0,1587142.0,1558835.0,1528039.0,1495732.0,1462798.0,1428851.0,1394058.0,1359101.0,1324064.0,1287697.0,1250740.0,1215141.0,1180452.0,1146921.0,1114798.0,1083637.0,1053385.0,1024285.0,996111.0,968049.0,939893.0
Croatia,2387324.0,2306414.0,2315000.0,2322932.0,2330812.0,2341055.0,2348849.0,2355577.0,2362537.0,2367290.0,2369143.0,2368126.0,2364760.0,2358549.0,2349660.0,2331401.0,2316396.0,2290144.0,2271488.0,2260710.0,2252743.0,2245077.0,2080978.0,1993228.0,1987174.0,1980467.0,1973788.0,1969090.0,1962310.0,1954640.0,1947168.0,1937891.0,1926284.0,1912496.0,1895608.0,1875373.0,1851938.0,1820324.0,1790471.0,1751263.0,1717287.0,1688680.0,1661463.0,1633904.0
Cuba,8367714.0,8419949.0,8470806.0,8513190.0,8546062.0,8574633.0,8597300.0,8614446.0,8628374.0,8641025.0,8653476.0,8667062.0,8678691.0,8680043.0,8674360.0,8670074.0,8666635.0,8658241.0,8649035.0,8638403.0,8627475.0,8596546.0,2741395.0,2724183.0,2706612.0,2696193.0,2692694.0,2687921.0,2681250.0,2672826.0,2663388.0,2653694.0,2643933.0,2634509.0,2624484.0,2618124.0,2611415.0,2604991.0,2598977.0,2589588.0,2578083.0,2564443.0,2548879.0,2525622.0
Cyprus,650554.0,663020.0,674190.0,685249.0,696328.0,707360.0,718322.0,729252.0,740141.0,750989.0,761851.0,772805.0,783858.0,794832.0,805579.0,816408.0,827393.0,838307.0,848979.0,859561.0,870174.0,880700.0,297113.0,301107.0,307250.0,314341.0,321547.0,328791.0,336096.0,343462.0,350885.0,358382.0,365965.0,373688.0,381539.0,389063.0,396222.0,403094.0,409719.0,415968.0,421758.0,427110.0,432073.0,436609.0
Czechia,7587516.0,7547721.0,7526242.0,7517054.0,7512306.0,7515659.0,7528974.0,7565828.0,7621676.0,7657912.0,7673029.0,7681562.0,7693579.0,7705910.0,7723921.0,7748928.0,7773650.0,7805452.0,7844036.0,7888753.0,7922941.0,7796754.0,2667547.0,2668884.0,2670674.0,2676944.0,2684795.0,2695557.0,2709931.0,2733000.0,2762927.0,2786024.0,2801381.0,2814526.0,2817206.0,2808362.0,2801426.0,2797131.0,2792682.0,2788986.0,2785892.0,2783117.0,2774917.0,2709018.0
Denmark,4544013.0,4563004.0,4582981.0,4601394.0,4624434.0,4652908.0,4681382.0,4712839.0,4751268.0,4785983.0,4815111.0,4844002.0,4872608.0,4901386.0,4932961.0,4974525.0,5020143.0,5059173.0,5091100.0,5116342.0,5138400.0,5167981.0,795603.0,795779.0,792950.0,789180.0,780089.0,766524.0,755890.0,748599.0,742353.0,737112.0,732572.0,726570.0,718964.0,713546.0,710514.0,708958.0,707867.0,705807.0,702536.0,698080.0,693004.0,688752.0
Djibouti,571937.0,590656.0,609601.0,623725.0,633769.0,644153.0,657287.0,672101.0,686504.0,701365.0,716284.0,730997.0,745729.0,760501.0,775241.0,789896.0,804472.0,819063.0,833678.0,848268.0,862732.0,877007.0,175381.0,180657.0,185973.0,189794.0,192355.0,195014.0,198477.0,202427.0,206230.0,210162.0,213967.0,217561.0,221018.0,224323.0,227476.0,230417.0,233181.0,235778.0,238204.0,240441.0,242456.0,244241.0
Dominica,44714.0,44648.0,44910.0,45226.0,45514.0,45778.0,46033.0,46267.0,46478.0,46689.0,46889.0,47225.0,47474.0,48091.0,48754.0,48991.0,48641.0,48071.0,48051.0,48050.0,48038.0,47979.0,23797.0,23640.0,23457.0,23305.0,23135.0,22956.0,22773.0,22580.0,22376.0,22175.0,21970.0,21828.0,21644.0,21624.0,21619.0,21419.0,20965.0,20425.0,20123.0,19830.0,19535.0,19223.0
Dominican Republic,5300995.0,5455845.0,5609750.0,5801930.0,6009502.0,6214905.0,6418327.0,6620852.0,6825642.0,7033139.0,7242674.0,7442010.0,7633573.0,7823665.0,8012071.0,8198228.0,8381634.0,8563022.0,8741442.0,8914378.0,9086251.0,9256178.0,3283195.0,3264438.0,3242485.0,3178690.0,3095390.0,3010129.0,2922856.0,2834806.0,2747488.0,2662126.0,2577501.0,2503611.0,2436838.0,2370168.0,2303457.0,2236601.0,2169796.0,2103821.0,2040611.0,1979665.0,1922049.0,1867298.0
Ecuador,7651464.0,7849601.0,8029971.0,8199363.0,8371256.0,8544606.0,8720301.0,8898741.0,9080351.0,9265480.0,9451580.0,9632687.0,9808614.0,9978250.0,10143980.0,10312461.0,10486375.0,10670786.0,10881191.0,11095186.0,11258608.0,11380604.0,5037742.0,5061139.0,5108501.0,5172943.0,5237445.0,5301557.0,5365830.0,5430032.0,5494851.0,5560474.0,5625115.0,5693540.0,5763580.0,5828878.0,5891144.0,5953764.0,6018764.0,6088733.0,6168356.0,6244835.0,6287457.0,6301850.0
El Salvador,3501356.0,3548847.0,3592817.0,3632812.0,3669274.0,3702319.0,3732662.0,3772607.0,3839336.0,3905374.0,3971790.0,4039277.0,4107796.0,4176621.0,4244674.0,4310022.0,4371626.0,4428696.0,4479692.0,4526487.0,4578993.0,4636661.0,2442010.0,2419213.0,2393814.0,2365787.0,2335397.0,2303259.0,2269657.0,2237217.0,2189961.0,2142905.0,2096459.0,2050850.0,2006179.0,1962218.0,1918281.0,1873654.0,1829174.0,1784837.0,1740115.0,1695831.0,1655680.0,1619121.0
Equatorial Guinea,345254.0,381157.0,419510.0,460448.0,504250.0,547010.0,588571.0,633023.0,680488.0,730896.0,784083.0,838090.0,892503.0,936214.0,981041.0,1026702.0,1072893.0,1119394.0,1166135.0,1212999.0,1254738.0,1293781.0,358025.0,368679.0,378447.0,387414.0,395667.0,400357.0,401772.0,403021.0,404042.0,404777.0,405002.0,403745.0,400980.0,410004.0,418787.0,427221.0,435293.0,443002.0,450287.0,457178.0,461730.0,465005.0
Eritrea,597418.0,634781.0,678194.0,729317.0,783746.0,827611.0,866499.0,905730.0,957551.0,998775.0,1035969.0,1072588.0,1104613.0,1136868.0,1163476.0,1186505.0,1213226.0,1242843.0,1279658.0,1319148.0,1360842.0,1406574.0,1649613.0,1677298.0,1714784.0,1764586.0,1814538.0,1833604.0,1837003.0,1837492.0,1858776.0,1889110.0,1909217.0,1925897.0,1932375.0,1937492.0,1931697.0,1919041.0,1911472.0,1907504.0,1913102.0,1921046.0,1930429.0,1943609.0
Estonia,969061.0,961159.0,953352.0,945646.0,938279.0,931205.0,924006.0,918084.0,913914.0,910446.0,906655.0,902194.0,899089.0,897846.0,897427.0,899949.0,902145.0,905267.0,910578.0,916236.0,920415.0,923866.0,427924.0,426956.0,425998.0,425074.0,424271.0,423570.0,422804.0,422596.0,423176.0,424069.0,424820.0,425245.0,423607.0,420151.0,417118.0,415458.0,413645.0,412117.0,411399.0,410662.0,409107.0,407066.0
Eswatini,236255.0,237067.0,237580.0,237831.0,237876.0,237795.0,237600.0,238090.0,242074.0,246029.0,249899.0,253748.0,256791.0,259886.0,263042.0,266275.0,269663.0,273624.0,278193.0,282946.0,288295.0,294035.0,805159.0,813997.0,821861.0,828869.0,835283.0,841227.0,846836.0,852615.0,856017.0,859124.0,861751.0,864085.0,867072.0,870104.0,873257.0,876538.0,879844.0,884571.0,890736.0,896928.0,904434.0,912558.0
Ethiopia,9936454.0,10372438.0,10829857.0,11303781.0,11795010.0,12303693.0,12831048.0,13392914.0,14123260.0,14882091.0,15680365.0,16520147.0,17397056.0,18284998.0,19209944.0,20179307.0,21200630.0,22273262.0,23392458.0,24565260.0,25799189.0,27083011.0,57475040.0,59115324.0,60805660.0,62528882.0,64282196.0,66063777.0,67872442.0,69710303.0,71420408.0,73125545.0,74858149.0,76629823.0,78401711.0,80153753.0,81905666.0,83687828.0,85517532.0,87393219.0,89271694.0,91172123.0,93118482.0,95055577.0
Faroe Islands,16626.0,17337.0,17998.0,18595.0,18989.0,19238.0,19405.0,19516.0,19679.0,19873.0,19913.0,19945.0,19908.0,19956.0,20098.0,20361.0,20665.0,21032.0,21451.0,21870.0,22287.0,22699.0,29128.0,29298.0,29337.0,29437.0,29395.0,29121.0,28930.0,28862.0,28868.0,28918.0,28744.0,28598.0,28383.0,28290.0,28330.0,28540.0,28799.0,29148.0,29545.0,29923.0,30280.0,30606.0
Fiji,402863.0,410355.0,417801.0,425216.0,432628.0,440051.0,447533.0,454815.0,462052.0,468662.0,474975.0,480990.0,486700.0,492136.0,497478.0,502701.0,507701.0,512135.0,515895.0,519205.0,523789.0,529309.0,438046.0,439241.0,440248.0,441070.0,441738.0,442328.0,442832.0,443017.0,441347.0,438577.0,435444.0,431999.0,428218.0,424216.0,420107.0,415877.0,411465.0,406624.0,401285.0,395694.0,391174.0,387402.0
Finland,4253964.0,4273258.0,4290649.0,4307931.0,4327463.0,4349276.0,4372951.0,4398523.0,4426008.0,4454167.0,4492880.0,4543014.0,4593267.0,4629925.0,4651843.0,4669930.0,4686120.0,4699884.0,4709266.0,4717991.0,4728699.0,4742889.0,922245.0,914750.0,909949.0,905083.0,900709.0,896820.0,893317.0,890197.0,887391.0,884704.0,870472.0,845258.0,820704.0,809047.0,809669.0,809601.0,809183.0,808330.0,806259.0,803615.0,800844.0,798128.0
France,46219597.0,46714859.0,47212114.0,47703309.0,48211475.0,48731393.0,49229060.0,49690550.0,50127615.0,50546727.0,50960391.0,51372267.0,51789448.0,52227463.0,52647802.0,53009026.0,53323902.0,53654868.0,54024861.0,54383388.0,54739999.0,55116857.0,14699064.0,14649518.0,14600028.0,14546546.0,14496113.0,14449461.0,14393282.0,14326340.0,14247501.0,14159709.0,14065820.0,13968563.0,13868211.0,13770469.0,13664265.0,13539246.0,13400202.0,13263152.0,13133487.0,12998673.0,12861111.0,12725954.0
French Polynesia,134702.0,136614.0,138476.0,141526.0,145291.0,149001.0,152675.0,156093.0,158789.0,160993.0,163206.0,165452.0,167835.0,169186.0,170346.0,171396.0,172348.0,173049.0,173021.0,172714.0,173040.0,173656.0,105635.0,107483.0,109299.0,110111.0,110363.0,110506.0,110548.0,110345.0,109590.0,108488.0,107374.0,106275.0,105249.0,105542.0,106041.0,106470.0,106830.0,107038.0,106794.0,106320.0,106169.0,106136.0
Gabon,1006158.0,1042865.0,1081058.0,1120851.0,1162563.0,1206681.0,1253534.0,1303224.0,1355797.0,1411575.0,1471064.0,1534147.0,1600034.0,1667346.0,1734087.0,1798479.0,1860010.0,1919123.0,1977149.0,2035062.0,2092422.0,2149103.0,269414.0,266724.0,264077.0,261499.0,259046.0,256814.0,254803.0,253013.0,251378.0,249981.0,248815.0,247838.0,246855.0,245713.0,244312.0,242510.0,240296.0,237777.0,235169.0,232644.0,230117.0,227619.0
Georgia,2146120.0,2103451.0,2086373.0,2087702.0,2090052.0,2091919.0,2095077.0,2099115.0,2107603.0,2103652.0,2102941.0,2100564.0,2099468.0,2107360.0,2122558.0,2140097.0,2155877.0,2170854.0,2184950.0,2196346.0,2213266.0,2220419.0,1931011.0,1910922.0,1892142.0,1864034.0,1837288.0,1810550.0,1785270.0,1761043.0,1740846.0,1710767.0,1683754.0,1655877.0,1629406.0,1610308.0,1596856.0,1585179.0,1571628.0,1557150.0,1541599.0,1523815.0,1509450.0,1488191.0
Germany,61629857.0,61902439.0,62174878.0,62376854.0,62529997.0,62660267.0,62753557.0,62833410.0,62875807.0,62877220.0,62940432.0,61940177.0,62064608.0,62242278.0,62510392.0,63062064.0,63592936.0,63861626.0,64096118.0,64294010.0,64410589.0,64513567.0,20581651.0,20447486.0,20313617.0,20157322.0,19986263.0,19809155.0,19622894.0,19432962.0,19234290.0,19025087.0,18836498.0,18334806.0,18361215.0,18403327.0,18472108.0,18624547.0,18755733.0,18795376.0,18809664.0,18798952.0,18750282.0,18682511.0
Ghana,8626376.0,8994714.0,9385230.0,9786049.0,10197187.0,10620380.0,11056772.0,11506461.0,11967591.0,12439039.0,12919134.0,13411310.0,13921335.0,14445669.0,14979538.0,15520555.0,16072523.0,16626729.0,17175430.0,17726010.0,18287340.0,18855948.0,11010711.0,11172355.0,11344158.0,11510656.0,11671111.0,11829058.0,11983930.0,12135818.0,12282355.0,12423625.0,12555861.0,12683778.0,12812933.0,12940524.0,13062054.0,13175513.0,13284219.0,13381625.0,13462155.0,13532935.0,13600469.0,13662717.0
Gibraltar,27709.0,27657.0,27831.0,28274.0,28715.0,29163.0,29594.0,30006.0,30413.0,30823.0,31248.0,31660.0,32029.0,32407.0,32813.0,33193.0,33658.0,34245.0,34854.0,35494.0,36173.0,36858.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greece,7857551.0,7919906.0,7991509.0,8052786.0,8114802.0,8180275.0,8246206.0,8308341.0,8371303.0,8433780.0,8484693.0,8511794.0,8505100.0,8482139.0,8463623.0,8445266.0,8446960.0,8466513.0,8485202.0,8511650.0,8528388.0,8459382.0,2948257.0,2942226.0,2910513.0,2875284.0,2840339.0,2807039.0,2774156.0,2740132.0,2706538.0,2673237.0,2636648.0,2593105.0,2539911.0,2483072.0,2428790.0,2375617.0,2329011.0,2288166.0,2247680.0,2209932.0,2170211.0,2109825.0
Greenland,45847.0,46146.0,46462.0,46728.0,46986.0,47175.0,47221.0,47213.0,47196.0,47360.0,47705.0,48217.0,48402.0,48322.0,48308.0,48298.0,48503.0,48630.0,48637.0,48945.0,49198.0,49575.0,10338.0,10233.0,10133.0,10023.0,9912.0,9760.0,9554.0,9342.0,9132.0,8963.0,8829.0,8673.0,8408.0,8161.0,7987.0,7816.0,7683.0,7542.0,7386.0,7280.0,7169.0,7078.0
Grenada,38358.0,38788.0,38931.0,39097.0,39248.0,39389.0,39526.0,39659.0,39786.0,39908.0,40020.0,40190.0,40451.0,40737.0,41017.0,41280.0,41530.0,41747.0,41963.0,42212.0,42508.0,42817.0,69093.0,69199.0,69473.0,69787.0,70075.0,70345.0,70609.0,70863.0,71110.0,71346.0,71566.0,71889.0,72324.0,72750.0,73115.0,73396.0,73600.0,73691.0,73728.0,73769.0,73833.0,73871.0
Guam,149067.0,150412.0,151495.0,152427.0,153218.0,153897.0,154499.0,155057.0,155612.0,156216.0,156696.0,156864.0,156812.0,156612.0,156300.0,155891.0,155392.0,154823.0,154187.0,153489.0,153950.0,155568.0,10998.0,10917.0,10820.0,10710.0,10592.0,10468.0,10340.0,10210.0,10081.0,9957.0,9826.0,9679.0,9519.0,9354.0,9186.0,9014.0,8841.0,8667.0,8492.0,8319.0,8208.0,8162.0
Guatemala,5302752.0,5466196.0,5634193.0,5801719.0,5970299.0,6139799.0,6310777.0,6485811.0,6661989.0,6838278.0,7018489.0,7203913.0,7393927.0,7587650.0,7783467.0,7981240.0,8186277.0,8396337.0,8600396.0,8798025.0,8997343.0,9194415.0,6394840.0,6503226.0,6612722.0,6724123.0,6837103.0,6947830.0,7056682.0,7166229.0,7273185.0,7377333.0,7481623.0,7588213.0,7695720.0,7799687.0,7898258.0,7990503.0,8082483.0,8171020.0,8245289.0,8305778.0,8359982.0,8404235.0
Guinea,2601896.0,2659685.0,2725392.0,2811860.0,2897988.0,2982432.0,3072063.0,3171354.0,3277120.0,3387027.0,3501194.0,3619692.0,3741188.0,3866233.0,3996708.0,4135066.0,4281096.0,4433199.0,4591505.0,4757536.0,4930624.0,5109086.0,5826936.0,5880275.0,5948674.0,6058921.0,6164738.0,6263412.0,6369108.0,6490927.0,6621750.0,6756507.0,6894892.0,7037118.0,7180393.0,7325640.0,7476216.0,7632004.0,7791934.0,7952460.0,8113269.0,8276810.0,8440559.0,8601427.0
Guinea-Bissau,447507.0,461903.0,477095.0,493062.0,509757.0,527171.0,545529.0,564927.0,585177.0,606216.0,628277.0,651399.0,675562.0,700606.0,726309.0,752509.0,779159.0,806109.0,833452.0,861398.0,889778.0,918593.0,787234.0,799370.0,812212.0,825744.0,839806.0,854414.0,869774.0,886059.0,902877.0,920161.0,938070.0,956677.0,975855.0,995367.0,1014813.0,1033948.0,1052734.0,1070963.0,1088716.0,1106298.0,1123477.0,1140248.0
Guyana,219461.0,218686.0,217778.0,216011.0,213965.0,211701.0,209338.0,206949.0,204536.0,202080.0,199557.0,196984.0,197020.0,198006.0,199222.0,200629.0,202203.0,203939.0,210601.0,215558.0,216292.0,219340.0,545371.0,545791.0,545874.0,547090.0,548453.0,549213.0,549628.0,549912.0,550070.0,550014.0,549699.0,549169.0,549268.0,552015.0,555007.0,558152.0,561345.0,564540.0,580955.0,592107.0,591189.0,596142.0
Haiti,2955922.0,3149914.0,3351385.0,3560466.0,3713709.0,3863546.0,4018790.0,4178053.0,4341363.0,4508368.0,4657447.0,4807935.0,4982221.0,5158204.0,5336407.0,5517020.0,5698131.0,5879017.0,6059774.0,6240213.0,6418888.0,6593165.0,5347229.0,5306004.0,5256256.0,5199446.0,5196554.0,5197727.0,5197772.0,5195243.0,5189411.0,5181213.0,5145847.0,5106969.0,5087550.0,5064158.0,5036828.0,5006222.0,4973326.0,4938737.0,4902588.0,4864950.0,4824960.0,4781421.0
Honduras,2990124.0,3106244.0,3234202.0,3365038.0,3498189.0,3633359.0,3770607.0,3909956.0,4051645.0,4195276.0,4340636.0,4487479.0,4636595.0,4787587.0,4940670.0,5095759.0,5253332.0,5413175.0,5575544.0,5740459.0,5905721.0,6069175.0,3587649.0,3651749.0,3704657.0,3754175.0,3800805.0,3844996.0,3886225.0,3924842.0,3960942.0,3994623.0,4025242.0,4053104.0,4078481.0,4101691.0,4122452.0,4141546.0,4159048.0,4174962.0,4189666.0,4203174.0,4213919.0,4220702.0
Hungary,6593735.0,6588305.0,6611324.0,6633742.0,6660205.0,6694281.0,6737243.0,6779707.0,6820246.0,6861506.0,6891116.0,6916190.0,6912310.0,6906274.0,6905448.0,6907417.0,6907857.0,6912027.0,6926016.0,6945760.0,6957093.0,6957867.0,3617236.0,3599271.0,3547284.0,3495810.0,3446941.0,3392784.0,3334127.0,3276073.0,3217942.0,3161144.0,3108907.0,3055537.0,3008052.0,2966460.0,2927590.0,2890338.0,2851898.0,2814729.0,2780948.0,2749064.0,2713326.0,2673065.0
Iceland,259836.0,263687.0,266425.0,268644.0,271378.0,276072.0,283000.0,290623.0,296449.0,297832.0,297604.0,298556.0,300190.0,303150.0,306653.0,309974.0,314424.0,322016.0,330898.0,338406.0,344101.0,349960.0,21369.0,21281.0,21098.0,20877.0,20696.0,20662.0,20782.0,20943.0,20965.0,20667.0,20437.0,20458.0,20526.0,20614.0,20733.0,20841.0,21015.0,21384.0,21823.0,22157.0,22362.0,22560.0
India,292695483.0,300927724.0,310006251.0,319092955.0,328335627.0,337569623.0,346808559.0,356083571.0,365350799.0,374851256.0,384608848.0,394460717.0,404495892.0,414704318.0,424967846.0,435286590.0,445947596.0,456844886.0,467796479.0,478826529.0,489878256.0,500529185.0,765227250.0,776970851.0,787594129.0,797710051.0,807655886.0,817106699.0,826070331.0,834592450.0,842580165.0,850673497.0,858872716.0,866764237.0,874178610.0,881125193.0,887309345.0,892737908.0,897996700.0,902812514.0,906862585.0,910203783.0,912739439.0,913674711.0
Indonesia,90756993.0,93736655.0,96759516.0,99822294.0,102906603.0,106067053.0,109344323.0,112687582.0,116080322.0,119503729.0,122940838.0,126219363.0,129573696.0,132928149.0,136260119.0,139573034.0,142869697.0,146129010.0,149350859.0,152553180.0,155657888.0,158554689.0,125320797.0,125361247.0,125328979.0,125225714.0,125020046.0,124804597.0,124607329.0,124374755.0,124077581.0,123716299.0,123364484.0,123250669.0,123124829.0,122924318.0,122617280.0,122226215.0,121757721.0,121217648.0,120600987.0,119936201.0,119156978.0,118203364.0
Iraq,16729501.0,17273119.0,17841540.0,18402170.0,18949312.0,19534666.0,19693599.0,19554151.0,19968866.0,20734150.0,21453279.0,22277575.0,23367230.0,24554500.0,25496590.0,26262702.0,26964900.0,27645505.0,28376393.0,29113803.0,29857725.0,30631815.0,7694555.0,7924721.0,8165019.0,8400489.0,8628566.0,8872782.0,8922916.0,8837456.0,9002170.0,9324056.0,9592087.0,9883849.0,10287612.0,10727489.0,11053469.0,11297833.0,11504727.0,11691848.0,11889231.0,12078368.0,12258880.0,12439396.0
Ireland,2250951.0,2296510.0,2345367.0,2394915.0,2450379.0,2515791.0,2595694.0,2680715.0,2744952.0,2782090.0,2806411.0,2827835.0,2849043.0,2873286.0,2903635.0,2940510.0,2987989.0,3038732.0,3094080.0,3155322.0,3207950.0,3266277.0,1554223.0,1569733.0,1586580.0,1601606.0,1619883.0,1644123.0,1677897.0,1718227.0,1744592.0,1753285.0,1753744.0,1752249.0,1750490.0,1750530.0,1754105.0,1761447.0,1774733.0,1788713.0,1803942.0,1821134.0,1831797.0,1844308.0
Isle of Man,39209.0,39640.0,40068.0,40483.0,40883.0,41273.0,41690.0,42148.0,42621.0,43108.0,43609.0,43889.0,43893.0,43834.0,43760.0,43673.0,43689.0,43860.0,44071.0,44275.0,44468.0,44640.0,36450.0,36836.0,37207.0,37566.0,37909.0,38243.0,38604.0,38999.0,39408.0,39831.0,40264.0,40493.0,40442.0,40307.0,40132.0,39920.0,39777.0,39749.0,39734.0,39682.0,39596.0,39466.0
Israel,5735757.0,5876682.0,6000381.0,6113918.0,6227239.0,6342289.0,6459778.0,6579915.0,6702316.0,6869011.0,7000447.0,7136149.0,7274496.0,7417238.0,7566988.0,7724692.0,7884198.0,8045513.0,8209306.0,8375041.0,8531985.0,8684851.0,553243.0,562318.0,569619.0,575782.0,581761.0,587811.0,593922.0,600185.0,606484.0,616589.0,623153.0,629651.0,636004.0,642262.0,648712.0,655408.0,661802.0,667787.0,673494.0,678959.0,683115.0,686549.0
Italy,38277624.0,38335252.0,38468265.0,38745023.0,39103415.0,39400947.0,39627810.0,39938971.0,40318077.0,40622180.0,40872806.0,41084771.0,41341756.0,41602348.0,41785360.0,41898725.0,41993489.0,42087980.0,42367512.0,42249963.0,42224765.0,42189154.0,18664484.0,18641729.0,18621559.0,18654161.0,18724764.0,18765735.0,18772051.0,18817276.0,18893104.0,18933274.0,18946601.0,18942070.0,18849491.0,18709265.0,18535347.0,18330880.0,18121734.0,17914272.0,17781146.0,17479118.0,17214086.0,16944019.0
Jamaica,1351219.0,1366080.0,1379725.0,1393053.0,1406258.0,1419066.0,1431459.0,1443307.0,1454699.0,1465852.0,1477163.0,1488734.0,1500772.0,1512934.0,1524940.0,1536713.0,1548207.0,1559314.0,1570061.0,1580608.0,1594017.0,1607604.0,1256607.0,1258323.0,1260847.0,1263570.0,1265967.0,1268000.0,1269509.0,1270493.0,1270936.0,1271143.0,1271405.0,1271760.0,1271658.0,1270753.0,1268809.0,1265821.0,1261708.0,1256450.0,1250036.0,1242663.0,1236722.0,1230078.0
Japan,99760751.0,101706485.0,104055019.0,106256267.0,108136910.0,109856670.0,111383848.0,112827761.0,114107975.0,115228215.0,116302928.0,116416235.0,116331281.0,116262976.0,116208079.0,116182717.0,116219897.0,116223820.0,116179166.0,116119928.0,115884871.0,115459909.0,27082249.0,25442515.0,23389981.0,21461733.0,19624090.0,17916330.0,16470152.0,15173239.0,13955025.0,12818785.0,11767072.0,11416765.0,11297719.0,11182024.0,11067921.0,10958283.0,10856103.0,10748180.0,10631834.0,10513072.0,10376129.0,10221684.0
Jordan,4216362.0,4304699.0,4397155.0,4496311.0,4606889.0,4792617.0,5204242.0,5623655.0,5849959.0,6065348.0,6281878.0,6520835.0,6690708.0,7122700.0,7912539.0,8614691.0,9056363.0,9287253.0,9518501.0,9733085.0,9932774.0,10139659.0,1170583.0,1194195.0,1218911.0,1245517.0,1275172.0,1236970.0,1223129.0,1203572.0,1139907.0,1076405.0,1015165.0,959589.0,896419.0,869109.0,879171.0,930038.0,950004.0,946973.0,943805.0,938806.0,932454.0,926697.0
Kazakhstan,8695809.0,8748942.0,8805941.0,8868452.0,8937905.0,9016078.0,9104397.0,9203046.0,9310883.0,9432594.0,9567854.0,9710555.0,9859808.0,10015282.0,10176306.0,10342517.0,10515732.0,10694271.0,10872686.0,11053178.0,11235532.0,11415949.0,6805294.0,6826608.0,6850736.0,6878928.0,6912254.0,6952039.0,6999319.0,7054168.0,7115642.0,7187252.0,7268956.0,7355447.0,7446298.0,7541220.0,7639979.0,7741652.0,7847868.0,7957660.0,8060041.0,8156377.0,8246585.0,8327654.0
Kenya,6095484.0,6399404.0,6718804.0,7049468.0,7397437.0,7758888.0,8135489.0,8527749.0,8939048.0,9367993.0,9805198.0,10248776.0,10698213.0,11154025.0,11614634.0,12081974.0,12566865.0,13067911.0,13570981.0,14084362.0,14618243.0,15163737.0,24547406.0,25219766.0,25911004.0,26602755.0,27316018.0,28037596.0,28768519.0,29508600.0,30267303.0,31040898.0,31793369.0,32509685.0,33190090.0,33832766.0,34436806.0,35006552.0,35572822.0,36129855.0,36636126.0,37118465.0,37599091.0,38055429.0
Kiribati,38066.0,39271.0,40127.0,40977.0,41828.0,42695.0,44037.0,45794.0,47636.0,49557.0,51515.0,53371.0,55111.0,56836.0,58554.0,60299.0,62142.0,64061.0,65995.0,67952.0,70103.0,72321.0,50547.0,51064.0,52137.0,53198.0,54257.0,55340.0,55980.0,56274.0,56586.0,56910.0,57189.0,57276.0,57173.0,57002.0,56772.0,56516.0,56336.0,56214.0,56089.0,55969.0,55996.0,56056.0
Kuwait,1935162.0,2006274.0,2059974.0,2109881.0,2157320.0,2236788.0,2364733.0,2507887.0,2651421.0,2795484.0,2943372.0,3132814.0,3337109.0,3507844.0,3665876.0,3834574.0,4004096.0,4154812.0,4323515.0,4442316.0,4400267.0,4360865.0,19547.0,1847.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kyrgyz Republic,1729024.0,1745413.0,1761469.0,1779935.0,1801555.0,1821896.0,1841512.0,1859055.0,1876714.0,1901682.0,1930200.0,1960829.0,2002135.0,2051870.0,2104549.0,2160944.0,2219663.0,2278925.0,2342487.0,2411424.0,2479154.0,2544956.0,3169338.0,3199660.0,3229235.0,3263373.0,3303158.0,3340744.0,3376861.0,3409330.0,3442015.0,3487961.0,3536859.0,3585758.0,3649941.0,3725280.0,3801299.0,3879092.0,3955675.0,4027771.0,4101592.0,4178787.0,4247442.0,4306268.0
